생산월	line	prc	model	dr	설비수	wpd	send	capa	생산목표
26년 1월	16	KIZ_36	KIYO	D1z	3	441	0	68796	107800
26년 1월	16	KIZ_37	KIYO	D1z	5	439	200	94385	107800
26년 1월	16	KIZ_38	KIYO	D1z	4	437	0	87400	107800
26년 1월	16	KIZ_39	KIYO	D1z	5	441	0	97020	107800
26년 1월	16	KIZ_40	NOVA	D1z	5	321	0	85065	107800
26년 1월	16	KIZ_41	TERRA	D1z	3	437	500	65550	107800
26년 1월	16	KIZ_42	TERRA	D1z	4	364	100	78624	107800
26년 1월	16	KIZ_43	KIYO	D1z	4	433	0	93528	107800
26년 1월	16	KIZ_44	VITA	D1z	3	333	100	56943	107800
26년 1월	16	KIZ_45	KIYO	D1z	5	454	0	108960	107800
26년 1월	16	KIZ_46	MIRA	D1z	5	359	300	87955	107800
26년 1월	16	KIZ_47	LUMI	D1z	8	410	0	160720	107800
26년 1월	16	KIZ_48	LUMI	D1z	3	407	0	67155	107800
26년 1월	16	KIZ_49	LUMI	D1z	6	424	0	142464	107800
26년 1월	16	KIZ_50	LUMI	D1z	4	409	300	83436	107800
26년 1월	16	KIB_01	VITA	D1b	4	395	0	74260	102300
26년 1월	16	KIB_02	MIRA	D1b	4	389	0	79356	102300
26년 1월	16	KIB_03	KIYO	D1b	6	333	0	113886	102300
26년 1월	16	KIB_04	ELON	D1b	5	420	200	88200	102300
26년 1월	16	KIB_05	TERRA	D1b	3	460	0	60720	102300
26년 1월	16	KIB_06	SERA	D1b	8	370	0	168720	102300
26년 1월	16	KIB_07	NOVA	D1b	8	446	0	199808	102300
26년 1월	16	KIB_08	KANO	D1b	3	407	0	52503	102300
26년 1월	16	KIB_09	KIYO	D1b	7	446	300	140490	102300
26년 1월	16	KIB_10	KIYO	D1b	3	437	100	68172	102300
26년 1월	16	KIB_11	LUMI	D1b	5	416	0	97760	102300
26년 1월	16	KIB_12	KIYO	D1b	7	363	0	132132	102300
26년 1월	16	KIB_13	NOVA	D1b	3	425	500	58650	102300
26년 1월	16	KIB_14	SERA	D1b	6	443	500	151506	102300
26년 1월	16	KIB_15	VITA	D1b	8	376	300	129344	102300
26년 1월	16	KIB_16	ELON	D1b	4	371	200	77168	102300
26년 1월	16	KIB_17	TERRA	D1b	4	447	0	96552	102300
26년 1월	16	KIB_18	MIRA	D1b	7	439	0	178234	102300
26년 1월	16	KIB_19	TERRA	D1b	6	416	0	142272	102300
26년 1월	16	KIB_20	ARIA	D1b	5	406	100	89320	102300
26년 1월	16	KIB_21	ARIA	D1b	8	413	500	191632	102300
26년 1월	16	KIB_22	ELON	D1b	4	357	0	64260	102300
26년 1월	16	KIB_23	KANO	D1b	4	375	0	84000	102300
26년 1월	16	KIB_24	KIYO	D1b	8	458	0	205184	102300
26년 1월	16	KIB_25	SERA	D1b	3	320	100	55680	102300
26년 1월	16	KIB_26	SERA	D1b	4	325	0	65000	102300
26년 1월	16	KIB_27	VITA	D1b	7	334	0	121576	102300
26년 1월	16	KIB_28	MIRA	D1b	8	360	500	123840	102300
26년 1월	16	KIB_29	VITA	D1b	7	385	100	150920	102300
26년 1월	16	KIB_30	ELON	D1b	4	442	500	97240	102300
26년 1월	16	KIB_31	KIYO	D1b	3	421	0	61887	102300
26년 1월	16	KIB_32	KANO	D1b	8	451	0	209264	102300
26년 1월	16	KIB_33	MIRA	D1b	3	392	300	58800	102300
26년 1월	16	KIB_34	KIYO	D1b	3	416	0	71136	102300
26년 1월	16	KIB_35	KIYO	D1b	6	391	300	103224	102300
26년 1월	16	KIB_36	NOVA	D1b	6	394	0	113472	102300
26년 1월	16	KIB_37	VITA	D1b	5	427	0	104615	102300
26년 1월	16	KIB_38	VITA	D1b	4	408	0	78336	102300
26년 1월	16	KIB_39	VITA	D1b	3	363	200	52272	102300
26년 1월	16	KIB_40	KANO	D1b	8	339	0	157296	102300
26년 1월	16	KIB_41	MIRA	D1b	3	433	0	54558	102300
26년 1월	16	KIB_42	ARIA	D1b	6	346	0	93420	102300
26년 1월	16	KIB_43	TERRA	D1b	4	389	0	80912	102300
26년 1월	16	KIB_44	KIYO	D1b	5	452	0	97180	102300
26년 1월	16	KIB_45	LUMI	D1b	4	349	500	75384	102300
26년 1월	16	KIB_46	TERRA	D1b	8	342	0	131328	102300
26년 1월	16	KIB_47	KIYO	D1b	5	341	100	75020	102300
26년 1월	16	KIB_48	ELON	D1b	7	371	200	142835	102300
26년 1월	16	KIB_49	TERRA	D1b	7	443	0	179858	102300
26년 1월	16	KIB_50	ARIA	D1b	3	438	0	56502	102300
26년 1월	17	KIZ_01	NOVA	D1z	5	449	300	110005	111800
26년 1월	17	KIZ_02	MIRA	D1z	5	347	0	90220	111800
26년 1월	17	KIZ_03	ARIA	D1z	6	377	0	122148	111800
26년 1월	17	KIZ_04	KIYO	D1z	6	427	300	135786	111800
26년 1월	17	KIZ_05	SERA	D1z	6	401	200	113082	111800
26년 1월	17	KIZ_06	SERA	D1z	7	362	0	111496	111800
26년 1월	17	KIZ_07	KIYO	D1z	8	414	0	188784	111800
26년 1월	17	KIZ_08	NOVA	D1z	3	437	100	62928	111800
26년 1월	17	KIZ_09	ELON	D1z	7	452	0	151872	111800
26년 1월	17	KIZ_10	VITA	D1z	5	335	500	70350	111800
26년 1월	17	KIZ_11	VITA	D1z	6	376	0	110544	111800
26년 1월	17	KIZ_12	VITA	D1z	4	447	200	100128	111800
26년 1월	17	KIZ_13	NOVA	D1z	3	396	300	58212	111800
26년 1월	17	KIZ_14	SERA	D1z	8	431	0	155160	111800
26년 1월	17	KIZ_15	MIRA	D1z	3	395	300	66360	111800
26년 1월	17	KIZ_16	TERRA	D1z	6	432	500	108864	111800
26년 1월	17	KIZ_17	ELON	D1z	8	441	0	190512	111800
26년 1월	17	KIZ_18	ARIA	D1z	8	323	500	131784	111800
26년 1월	17	KIZ_19	SERA	D1z	4	414	0	89424	111800
26년 1월	17	KIZ_20	SERA	D1z	8	396	0	142560	111800
26년 1월	17	KIZ_21	ARIA	D1z	5	353	0	97075	111800
26년 1월	17	KIZ_22	SERA	D1z	7	420	100	126420	111800
26년 1월	17	KIZ_23	ARIA	D1z	3	432	0	73872	111800
26년 1월	17	KIZ_24	TERRA	D1z	7	392	0	150920	111800
26년 1월	17	KIZ_25	LUMI	D1z	5	445	0	111250	111800
26년 1월	17	KIZ_26	KIYO	D1z	7	336	200	115248	111800
26년 1월	17	KIZ_27	SERA	D1z	3	437	500	69483	111800
26년 1월	17	KIZ_28	SERA	D1z	7	324	0	97524	111800
26년 1월	17	KIZ_29	NOVA	D1z	5	362	0	79640	111800
26년 1월	17	KIZ_30	TERRA	D1z	7	361	0	131404	111800
26년 1월	17	KIZ_31	TERRA	D1z	5	372	0	85560	111800
26년 1월	17	KIZ_32	NOVA	D1z	5	364	300	101920	111800
26년 1월	17	KIZ_33	KIYO	D1z	6	375	300	101250	111800
26년 1월	17	KIZ_34	SERA	D1z	4	399	0	75012	111800
26년 1월	17	KIZ_35	KANO	D1z	5	355	500	83425	111800
26년 1월	17	KIZ_36	KANO	D1z	3	371	500	50085	111800
26년 1월	17	KIZ_37	SERA	D1z	6	350	0	121800	111800
26년 1월	17	KIZ_38	VITA	D1z	7	345	0	120750	111800
26년 1월	17	KIZ_39	VITA	D1z	4	378	0	65016	111800
26년 1월	17	KIZ_40	ELON	D1z	5	437	300	126730	111800
26년 1월	17	KIZ_41	NOVA	D1z	8	386	200	132784	111800
26년 1월	17	KIZ_42	KANO	D1z	6	411	0	138096	111800
26년 1월	17	KIZ_43	KIYO	D1z	3	409	200	51534	111800
26년 1월	17	KIZ_44	SERA	D1z	3	420	0	69300	111800
26년 1월	17	KIZ_45	VITA	D1z	8	417	300	160128	111800
26년 1월	17	KIZ_46	MIRA	D1z	5	416	0	118560	111800
26년 1월	17	KIZ_47	NOVA	D1z	7	413	200	161896	111800
26년 1월	17	KIZ_48	KIYO	D1z	7	392	0	117992	111800
26년 1월	17	KIZ_49	LUMI	D1z	3	348	0	55332	111800
26년 1월	17	KIZ_50	KIYO	D1z	3	405	0	57105	111800
26년 2월	16	KIZ_01	KIYO	D1z	4	383	500	81196	108200
26년 2월	16	KIZ_02	LUMI	D1z	7	379	200	135303	108200
26년 2월	16	KIZ_03	VITA	D1z	3	337	0	49539	108200
26년 2월	16	KIZ_04	SERA	D1z	7	437	300	146832	108200
26년 2월	16	KIZ_05	MIRA	D1z	7	426	0	131208	108200
26년 2월	16	KIZ_06	TERRA	D1z	8	357	0	137088	108200
26년 2월	16	KIZ_07	KANO	D1z	6	423	0	144666	108200
26년 2월	16	KIZ_08	VITA	D1z	5	376	300	97760	108200
26년 2월	16	KIZ_09	SERA	D1z	4	328	0	60352	108200
26년 2월	16	KIZ_10	SERA	D1z	4	379	0	75800	108200
26년 2월	16	KIZ_11	VITA	D1z	7	338	100	127764	108200
26년 2월	16	KIZ_12	SERA	D1z	8	451	0	198440	108200
26년 2월	16	KIZ_13	NOVA	D1z	7	447	0	143934	108200
26년 2월	16	KIZ_14	ELON	D1z	6	441	0	153468	108200
26년 2월	16	KIZ_15	ARIA	D1z	8	346	0	132864	108200
26년 2월	16	KIZ_16	KIYO	D1z	4	353	500	80484	108200
26년 2월	16	KIZ_17	VITA	D1z	7	412	0	129780	108200
26년 2월	16	KIZ_18	TERRA	D1z	3	458	100	70074	108200
26년 2월	16	KIZ_19	KANO	D1z	7	382	200	144396	108200
26년 2월	16	KIZ_20	LUMI	D1z	5	357	100	76755	108200
26년 2월	16	KIZ_21	MIRA	D1z	3	421	0	73254	108200
26년 2월	16	KIZ_22	VITA	D1z	4	363	0	76956	108200
26년 2월	16	KIZ_23	KANO	D1z	7	346	300	113834	108200
26년 2월	16	KIZ_24	KIYO	D1z	5	387	0	112230	108200
26년 2월	16	KIZ_25	VITA	D1z	5	420	300	90300	108200
26년 2월	16	KIZ_26	TERRA	D1z	7	426	0	164010	108200
26년 2월	16	KIZ_27	LUMI	D1z	4	416	500	79872	108200
26년 2월	16	KIZ_28	KANO	D1z	3	423	0	65988	108200
26년 2월	16	KIZ_29	ARIA	D1z	3	380	0	52440	108200
26년 2월	16	KIZ_30	ARIA	D1z	3	393	100	49518	108200
26년 2월	16	KIZ_31	ARIA	D1z	7	362	500	136836	108200
26년 2월	16	KIZ_32	ELON	D1z	7	342	0	124488	108200
26년 2월	16	KIZ_33	NOVA	D1z	5	323	500	87210	108200
26년 2월	16	KIZ_34	ARIA	D1z	4	384	0	81408	108200
26년 2월	16	KIZ_35	KANO	D1z	4	386	500	66392	108200
26년 2월	16	KIZ_36	ELON	D1z	5	405	0	101250	108200
26년 2월	16	KIZ_37	ARIA	D1z	7	399	0	139650	108200
26년 2월	16	KIZ_38	MIRA	D1z	3	434	0	74214	108200
26년 2월	16	KIZ_39	ARIA	D1z	7	340	0	138040	108200
26년 2월	16	KIZ_40	VITA	D1z	7	457	500	156751	108200
26년 2월	16	KIZ_41	ARIA	D1z	3	400	0	57600	108200
26년 2월	16	KIZ_42	LUMI	D1z	4	455	0	100100	108200
26년 2월	16	KIZ_43	KANO	D1z	5	426	0	91590	108200
26년 2월	16	KIZ_44	LUMI	D1z	6	337	0	113232	108200
26년 2월	16	KIZ_45	MIRA	D1z	3	376	0	50760	108200
26년 2월	16	KIZ_46	SERA	D1z	6	431	0	144816	108200
26년 2월	16	KIZ_47	SERA	D1z	8	349	500	156352	108200
26년 2월	16	KIZ_48	ELON	D1z	7	454	500	162078	108200
26년 2월	16	KIZ_49	VITA	D1z	7	458	300	176330	108200
26년 2월	16	KIZ_50	ARIA	D1z	6	432	100	124416	108200
26년 2월	16	KIB_01	VITA	D1b	4	411	0	82200	104300
26년 2월	16	KIB_02	KANO	D1b	5	374	100	87890	104300
26년 2월	16	KIB_03	NOVA	D1b	8	358	100	146064	104300
26년 2월	16	KIB_04	MIRA	D1b	7	414	0	144900	104300
26년 2월	16	KIB_05	KANO	D1b	4	455	200	81900	104300
26년 2월	16	KIB_06	LUMI	D1b	4	340	200	73440	104300
26년 2월	16	KIB_07	KIYO	D1b	8	420	0	164640	104300
26년 2월	16	KIB_08	KANO	D1b	4	429	200	90948	104300
26년 2월	16	KIB_09	SERA	D1b	6	334	300	94188	104300
26년 2월	16	KIB_10	KANO	D1b	3	432	500	73872	104300
26년 2월	16	KIB_11	SERA	D1b	7	376	100	144760	104300
26년 2월	16	KIB_12	KANO	D1b	6	334	500	98196	104300
26년 2월	16	KIB_13	LUMI	D1b	7	342	0	138852	104300
26년 2월	16	KIB_14	ARIA	D1b	3	408	0	56304	104300
26년 2월	16	KIB_15	KIYO	D1b	6	444	100	149184	104300
26년 2월	16	KIB_16	MIRA	D1b	6	325	0	109200	104300
26년 2월	16	KIB_17	MIRA	D1b	5	396	0	83160	104300
26년 2월	16	KIB_18	KANO	D1b	5	434	0	93310	104300
26년 2월	16	KIB_19	ARIA	D1b	8	457	0	157208	104300
26년 2월	16	KIB_20	ARIA	D1b	7	376	100	134232	104300
26년 2월	16	KIB_21	KANO	D1b	7	353	0	140847	104300
26년 2월	16	KIB_22	NOVA	D1b	8	453	0	159456	104300
26년 2월	16	KIB_23	LUMI	D1b	6	352	0	109824	104300
26년 2월	16	KIB_24	MIRA	D1b	6	396	300	133056	104300
26년 2월	16	KIB_25	SERA	D1b	6	398	0	128952	104300
26년 2월	16	KIB_26	VITA	D1b	6	356	0	93984	104300
26년 2월	16	KIB_27	VITA	D1b	7	427	0	125538	104300
26년 2월	16	KIB_28	KANO	D1b	8	408	0	186048	104300
26년 2월	16	KIB_29	NOVA	D1b	6	344	0	115584	104300
26년 2월	16	KIB_30	ARIA	D1b	7	366	0	148596	104300
26년 2월	16	KIB_31	SERA	D1b	5	331	100	86060	104300
26년 2월	16	KIB_32	KANO	D1b	8	415	100	156040	104300
26년 2월	16	KIB_33	LUMI	D1b	5	367	300	100925	104300
26년 2월	16	KIB_34	KIYO	D1b	6	417	100	127602	104300
26년 2월	16	KIB_35	TERRA	D1b	5	348	0	95700	104300
26년 2월	16	KIB_36	ARIA	D1b	6	423	300	147204	104300
26년 2월	16	KIB_37	KIYO	D1b	5	397	0	115130	104300
26년 2월	16	KIB_38	MIRA	D1b	6	441	0	137592	104300
26년 2월	16	KIB_39	MIRA	D1b	8	388	200	136576	104300
26년 2월	16	KIB_40	MIRA	D1b	3	390	100	63180	104300
26년 2월	16	KIB_41	VITA	D1b	3	431	0	60771	104300
26년 2월	16	KIB_42	NOVA	D1b	8	333	100	138528	104300
26년 2월	16	KIB_43	KANO	D1b	4	410	100	80360	104300
26년 2월	16	KIB_44	NOVA	D1b	4	351	0	70200	104300
26년 2월	16	KIB_45	ELON	D1b	8	456	500	204288	104300
26년 2월	16	KIB_46	KIYO	D1b	3	434	200	57288	104300
26년 2월	16	KIB_47	TERRA	D1b	4	377	500	82940	104300
26년 2월	16	KIB_48	VITA	D1b	7	327	0	96138	104300
26년 2월	16	KIB_49	KANO	D1b	4	417	200	75060	104300
26년 2월	16	KIB_50	LUMI	D1b	6	448	0	120960	104300
26년 2월	17	KIZ_01	TERRA	D1z	7	343	100	108045	110100
26년 2월	17	KIZ_02	LUMI	D1z	7	413	0	144550	110100
26년 2월	17	KIZ_03	NOVA	D1z	8	424	200	189952	110100
26년 2월	17	KIZ_04	SERA	D1z	8	322	0	108192	110100
26년 2월	17	KIZ_05	NOVA	D1z	7	356	0	112140	110100
26년 2월	17	KIZ_06	ARIA	D1z	4	434	0	92008	110100
26년 2월	17	KIZ_07	MIRA	D1z	6	460	0	157320	110100
26년 2월	17	KIZ_08	TERRA	D1z	4	438	500	96360	110100
26년 2월	17	KIZ_09	MIRA	D1z	4	337	100	64704	110100
26년 2월	17	KIZ_10	TERRA	D1z	8	411	0	164400	110100
26년 2월	17	KIZ_11	SERA	D1z	6	432	100	139968	110100
26년 2월	17	KIZ_12	ELON	D1z	8	398	0	156016	110100
26년 2월	17	KIZ_13	TERRA	D1z	5	397	0	83370	110100
26년 2월	17	KIZ_14	NOVA	D1z	7	397	0	116718	110100
26년 2월	17	KIZ_15	LUMI	D1z	5	362	300	92310	110100
26년 2월	17	KIZ_16	ARIA	D1z	3	431	500	58185	110100
26년 2월	17	KIZ_17	NOVA	D1z	7	372	500	122388	110100
26년 2월	17	KIZ_18	MIRA	D1z	3	340	0	44880	110100
26년 2월	17	KIZ_19	VITA	D1z	8	423	0	159048	110100
26년 2월	17	KIZ_20	SERA	D1z	7	395	300	160370	110100
26년 2월	17	KIZ_21	LUMI	D1z	4	336	100	71232	110100
26년 2월	17	KIZ_22	SERA	D1z	5	350	100	89250	110100
26년 2월	17	KIZ_23	KANO	D1z	5	422	100	113940	110100
26년 2월	17	KIZ_24	MIRA	D1z	8	409	0	183232	110100
26년 2월	17	KIZ_25	LUMI	D1z	8	351	500	140400	110100
26년 2월	17	KIZ_26	ELON	D1z	7	436	0	152600	110100
26년 2월	17	KIZ_27	NOVA	D1z	4	422	0	77648	110100
26년 2월	17	KIZ_28	KIYO	D1z	8	359	100	129240	110100
26년 2월	17	KIZ_29	KANO	D1z	3	325	100	51675	110100
26년 2월	17	KIZ_30	TERRA	D1z	8	333	500	146520	110100
26년 2월	17	KIZ_31	KIYO	D1z	6	439	0	134334	110100
26년 2월	17	KIZ_32	NOVA	D1z	7	419	0	152516	110100
26년 2월	17	KIZ_33	SERA	D1z	7	402	0	132258	110100
26년 2월	17	KIZ_34	NOVA	D1z	3	372	500	56916	110100
26년 2월	17	KIZ_35	SERA	D1z	5	357	0	89250	110100
26년 2월	17	KIZ_36	ARIA	D1z	5	335	0	77050	110100
26년 2월	17	KIZ_37	LUMI	D1z	7	393	300	154056	110100
26년 2월	17	KIZ_38	MIRA	D1z	5	436	100	98100	110100
26년 2월	17	KIZ_39	VITA	D1z	6	328	0	110208	110100
26년 2월	17	KIZ_40	TERRA	D1z	8	377	100	129688	110100
26년 2월	17	KIZ_41	KIYO	D1z	4	372	0	66960	110100
26년 2월	17	KIZ_42	MIRA	D1z	5	395	300	98750	110100
26년 2월	17	KIZ_43	ARIA	D1z	4	395	200	85320	110100
26년 2월	17	KIZ_44	VITA	D1z	4	356	300	79744	110100
26년 2월	17	KIZ_45	ARIA	D1z	3	389	200	57183	110100
26년 2월	17	KIZ_46	KIYO	D1z	7	391	0	134113	110100
26년 2월	17	KIZ_47	KIYO	D1z	4	458	0	95264	110100
26년 2월	17	KIZ_48	LUMI	D1z	8	457	0	182800	110100
26년 2월	17	KIZ_49	MIRA	D1z	7	436	300	134288	110100
26년 2월	17	KIZ_50	SERA	D1z	3	420	0	61740	110100
26년 3월	16	KIZ_01	ARIA	D1z	4	335	300	75040	111300
26년 3월	16	KIZ_02	ARIA	D1z	8	430	500	178880	111300
26년 3월	16	KIZ_03	KANO	D1z	3	341	200	59334	111300
26년 3월	16	KIZ_04	KANO	D1z	3	420	0	73080	111300
26년 3월	16	KIZ_05	TERRA	D1z	5	392	0	92120	111300
26년 3월	16	KIZ_06	NOVA	D1z	5	423	0	118440	111300
26년 3월	16	KIZ_07	MIRA	D1z	4	449	300	98780	111300
26년 3월	16	KIZ_08	MIRA	D1z	4	400	0	70400	111300
26년 3월	16	KIZ_09	ELON	D1z	4	403	200	83824	111300
26년 3월	16	KIZ_10	VITA	D1z	6	426	500	145692	111300
26년 3월	16	KIZ_11	ELON	D1z	7	321	0	107856	111300
26년 3월	16	KIZ_12	LUMI	D1z	8	374	0	173536	111300
26년 3월	16	KIZ_13	LUMI	D1z	6	422	0	136728	111300
26년 3월	16	KIZ_14	KANO	D1z	5	338	0	86190	111300
26년 3월	16	KIZ_15	KIYO	D1z	3	328	0	56088	111300
26년 3월	16	KIZ_16	LUMI	D1z	7	407	0	133903	111300
26년 3월	16	KIZ_17	MIRA	D1z	3	376	0	48504	111300
26년 3월	16	KIZ_18	NOVA	D1z	6	458	500	145644	111300
26년 3월	16	KIZ_19	LUMI	D1z	3	386	100	56742	111300
26년 3월	16	KIZ_20	LUMI	D1z	8	398	0	168752	111300
26년 3월	16	KIZ_21	ARIA	D1z	8	423	0	165816	111300
26년 3월	16	KIZ_22	NOVA	D1z	7	443	100	148848	111300
26년 3월	16	KIZ_23	ARIA	D1z	4	389	100	70020	111300
26년 3월	16	KIZ_24	LUMI	D1z	3	367	0	52848	111300
26년 3월	16	KIZ_25	TERRA	D1z	7	445	200	177555	111300
26년 3월	16	KIZ_26	SERA	D1z	3	382	300	56154	111300
26년 3월	16	KIZ_27	TERRA	D1z	7	362	0	119098	111300
26년 3월	16	KIZ_28	KIYO	D1z	8	382	0	177248	111300
26년 3월	16	KIZ_29	VITA	D1z	5	366	0	80520	111300
26년 3월	16	KIZ_30	TERRA	D1z	3	379	200	52302	111300
26년 3월	16	KIZ_31	ELON	D1z	3	349	0	57585	111300
26년 3월	16	KIZ_32	TERRA	D1z	5	378	0	105840	111300
26년 3월	16	KIZ_33	ELON	D1z	6	367	0	110100	111300
26년 3월	16	KIZ_34	LUMI	D1z	4	361	500	73644	111300
26년 3월	16	KIZ_35	VITA	D1z	3	364	0	50232	111300
26년 3월	16	KIZ_36	KANO	D1z	4	448	0	82432	111300
26년 3월	16	KIZ_37	NOVA	D1z	3	459	0	63342	111300
26년 3월	16	KIZ_38	TERRA	D1z	8	424	100	179776	111300
26년 3월	16	KIZ_39	TERRA	D1z	7	432	300	133056	111300
26년 3월	16	KIZ_40	ELON	D1z	8	373	0	143232	111300
26년 3월	16	KIZ_41	KIYO	D1z	7	327	200	121317	111300
26년 3월	16	KIZ_42	KANO	D1z	8	421	100	171768	111300
26년 3월	16	KIZ_43	ELON	D1z	8	362	0	121632	111300
26년 3월	16	KIZ_44	ELON	D1z	7	373	200	135772	111300
26년 3월	16	KIZ_45	ELON	D1z	8	400	0	140800	111300
26년 3월	16	KIZ_46	MIRA	D1z	3	342	300	50274	111300
26년 3월	16	KIZ_47	MIRA	D1z	6	389	0	98028	111300
26년 3월	16	KIZ_48	ELON	D1z	8	423	200	196272	111300
26년 3월	16	KIZ_49	NOVA	D1z	6	380	200	111720	111300
26년 3월	16	KIZ_50	ELON	D1z	6	373	0	105186	111300
26년 3월	16	KIB_01	TERRA	D1b	4	336	300	77952	106500
26년 3월	16	KIB_02	KANO	D1b	5	348	300	81780	106500
26년 3월	16	KIB_03	MIRA	D1b	6	351	200	117936	106500
26년 3월	16	KIB_04	VITA	D1b	7	335	0	136010	106500
26년 3월	16	KIB_05	ARIA	D1b	5	383	0	97665	106500
26년 3월	16	KIB_06	KANO	D1b	3	437	0	62928	106500
26년 3월	16	KIB_07	KIYO	D1b	7	331	300	122801	106500
26년 3월	16	KIB_08	KANO	D1b	5	332	0	76360	106500
26년 3월	16	KIB_09	ARIA	D1b	8	359	300	143600	106500
26년 3월	16	KIB_10	SERA	D1b	7	397	0	122276	106500
26년 3월	16	KIB_11	LUMI	D1b	4	449	300	96984	106500
26년 3월	16	KIB_12	ARIA	D1b	7	400	0	120400	106500
26년 3월	16	KIB_13	KANO	D1b	4	348	0	59856	106500
26년 3월	16	KIB_14	ARIA	D1b	3	327	100	42183	106500
26년 3월	16	KIB_15	MIRA	D1b	8	366	200	134688	106500
26년 3월	16	KIB_16	MIRA	D1b	6	423	0	142128	106500
26년 3월	16	KIB_17	ARIA	D1b	5	348	0	80040	106500
26년 3월	16	KIB_18	MIRA	D1b	6	440	300	113520	106500
26년 3월	16	KIB_19	ARIA	D1b	5	348	100	78300	106500
26년 3월	16	KIB_20	MIRA	D1b	7	364	200	129948	106500
26년 3월	16	KIB_21	TERRA	D1b	3	371	100	54537	106500
26년 3월	16	KIB_22	SERA	D1b	5	367	300	82575	106500
26년 3월	16	KIB_23	NOVA	D1b	8	379	200	157664	106500
26년 3월	16	KIB_24	ELON	D1b	6	395	0	132720	106500
26년 3월	16	KIB_25	LUMI	D1b	5	320	300	88000	106500
26년 3월	16	KIB_26	VITA	D1b	4	379	0	77316	106500
26년 3월	16	KIB_27	ELON	D1b	8	364	200	168896	106500
26년 3월	16	KIB_28	ELON	D1b	8	387	300	154800	106500
26년 3월	16	KIB_29	SERA	D1b	5	340	100	71400	106500
26년 3월	16	KIB_30	ELON	D1b	8	345	0	138000	106500
26년 3월	16	KIB_31	MIRA	D1b	6	382	100	123768	106500
26년 3월	16	KIB_32	VITA	D1b	3	414	0	69552	106500
26년 3월	16	KIB_33	TERRA	D1b	8	342	200	150480	106500
26년 3월	16	KIB_34	NOVA	D1b	8	445	100	178000	106500
26년 3월	16	KIB_35	KIYO	D1b	8	428	100	164352	106500
26년 3월	16	KIB_36	TERRA	D1b	8	442	200	155584	106500
26년 3월	16	KIB_37	TERRA	D1b	4	355	0	63900	106500
26년 3월	16	KIB_38	NOVA	D1b	5	386	300	96500	106500
26년 3월	16	KIB_39	TERRA	D1b	8	322	0	121072	106500
26년 3월	16	KIB_40	TERRA	D1b	7	432	0	130032	106500
26년 3월	16	KIB_41	LUMI	D1b	4	425	0	76500	106500
26년 3월	16	KIB_42	ARIA	D1b	5	429	500	105105	106500
26년 3월	16	KIB_43	LUMI	D1b	8	384	500	175104	106500
26년 3월	16	KIB_44	KANO	D1b	3	441	300	70119	106500
26년 3월	16	KIB_45	MIRA	D1b	8	355	0	119280	106500
